noise_axis,noise_value,runtime_sec,gicp_x,gicp_y,gicp_z,gicp_roll_deg,gicp_pitch_deg,gicp_yaw_deg,error_x,error_y,error_z,error_roll,error_pitch,error_yaw,mahalanobis_distance,min_eigenvalue
X,-0.5,0.02624097000079928,0.5153127253540195,0.014616929642291877,0.03421178456582649,0.08950131864666994,0.17010484201198675,-0.04391896972886786,-0.5151975277687937,-0.015067741499943029,-0.03571801078093923,-0.08963207742197156,-0.17003597872846757,0.04418482974953219,3041928.079397595,49148.314165357726
X,-0.45,0.025906333998136688,0.46603713284418263,0.014595237314402468,0.032155015015217066,0.09926139229501814,0.15869458091768085,-0.046337138540889306,-0.4659343281890661,-0.015030053375060047,-0.033419671498465295,-0.0993900824659181,-0.1586140143875375,0.04661217566684185,2488750.7980548157,47904.81022260971
X,-0.4,0.026684515996748814,0.4143990455432394,0.014528102561202362,0.03251912437038646,0.09706115152182264,0.15878411899133527,-0.03585700129061808,-0.4142981607737596,-0.014844452605327477,-0.0336423002679883,-0.09716087591010257,-0.15872311678516313,0.03612607410764069,1986261.7331714202,47836.061051161625
X,-0.35000000000000003,0.02648441100245691,0.3625986049603752,0.013013134870162165,0.03863225869454253,0.1086808401621678,0.18801332647884308,-0.050042330409164455,-0.3624583791314764,-0.013405336344584228,-0.0397965044328367,-0.1088455953053336,-0.18791799387004057,0.050399141517165263,1611500.1364946128,48967.58397713223
X,-0.30000000000000004,0.026370858002337627,0.3140002153886101,0.013996199886374775,0.033753750419190584,0.10096569413841909,0.16396397363373869,-0.044850385193303824,-0.3138912841025455,-0.014303032151608438,-0.03462700648971796,-0.10109442541662789,-0.16388463392369867,0.04513943432371083,1216958.0329249816,48016.62775085975
X,-0.25000000000000006,0.02641852400120115,0.26521507343564377,0.014813091972585436,0.03487347922216141,0.08748418313392742,0.16971001961937926,-0.04396343572771942,-0.26509917075922385,-0.015071018417824112,-0.03563588768281495,-0.08761476084929892,-0.1696426443680367,0.04422270586854398,942209.0119072348,47766.34002877248
X,-0.20000000000000007,0.026486875998671167,0.21597835897457165,0.014812169987783293,0.03278245827161558,0.09856324619136161,0.15830310485317822,-0.046211949560423564,-0.21587494277333066,-0.015043760818016255,-0.033353198324713715,-0.0986912697412845,-0.15822332262365985,0.046484379365305216,667254.2131433382,46497.23916777828
X,-0.15000000000000008,0.02652284400028293,0.16461326972068435,0.01493690536642262,0.03308514207953686,0.09697907124514346,0.15833118542879968,-0.036128568702457294,-0.16451176247333127,-0.01509744950986061,-0.03351437546335649,-0.09707925991613786,-0.1582697755854755,0.0363966473562161,455530.6457666728,46377.123638876554
X,-0.10000000000000009,0.026386034998722607,0.1126346628901324,0.013082703450702877,0.03932710728024942,0.10893283721682723,0.18737185033248951,-0.04967510750167729,-0.11249406623480634,-0.013255798228094093,-0.03967007255198946,-0.10909582904651625,-0.18727699669078268,0.050031522367967915,340569.56574789755,47861.85296190758
X,-0.0500000000000001,0.023769655999785755,0.0639604732611208,0.014244485177139528,0.03448274366844446,0.10103513230213028,0.16401533050646266,-0.04494494070448813,-0.0638503072355063,-0.014355760790200806,-0.03464040280825162,-0.10116417484820855,-0.16393576904351936,0.045234279369005946,216237.72012119053,46659.22169895774
X,-1.1102230246251565e-16,0.02391868399718078,0.01520788910922787,0.015021093560811973,0.03567585293842858,0.08714890369339161,0.17004799545772376,-0.04412769414808007,-0.015090366707274499,-0.015087117001426127,-0.0356978901201581,-0.08728022820623088,-0.16998062827262406,0.04438648696094753,182381.0405091518,46389.52854787513
X,0.04999999999999982,0.023934297998494003,-0.03387358080761601,0.014949331475327201,0.0332584430627147,0.09862663050018633,0.15735416304843677,-0.0464261037087043,0.03397689431711743,-0.014978946392661348,-0.03313952082897922,-0.09875447224160185,-0.15727396200017016,0.04669707345079453,165192.08412497514,44882.28412730428
X,0.09999999999999987,0.0239440730001661,-0.08526065568551339,0.01513054882924095,0.03374701556541415,0.09659757921051586,0.15839407860291904,-0.03637906329064414,0.08536321301317855,-0.015132887398869192,-0.03348569184606863,-0.096698498678597,-0.1583324882337029,0.03664619487925965,227371.0254664522,44981.94767646358
X,0.1499999999999999,0.026612828998622717,-0.1373564075848223,0.013300204311997634,0.04011095568811149,0.10888889292843974,0.1872207885761945,-0.049663545022606004,0.13749821823361694,-0.013256492188507005,-0.03963675444583039,-0.10905171486837219,-0.18712599564459734,0.05001952869229095,407029.5029606645,46694.57693570644
X,0.19999999999999984,0.026400808998005232,-0.1858861915518708,0.014677129670356915,0.035160966247609025,0.10199778448203457,0.16381642864910756,-0.04494423866226427,0.18599741749206855,-0.01459293535744463,-0.034603393134479674,-0.10212667162246636,-0.1637361087901267,0.0452359771505592,533864.5195873639,45298.87032977602
X,0.24999999999999978,0.027019620003557066,-0.23477844728235395,0.01528298670554662,0.036262787880734226,0.08874013605270635,0.16935643936625125,-0.04395112989546471,0.23489626238033015,-0.015157956403830249,-0.035545197330283704,-0.08887040961318128,-0.16928811430658933,0.04421357021563183,758974.5188065463,45004.299303665124
X,0.2999999999999998,0.026799901999766007,-0.2839324524171132,0.015213869911747677,0.03414222136550852,0.09881280650302904,0.15818679950782932,-0.046332154121245396,0.2840378425525078,-0.015041770827272125,-0.03333226337283162,-0.09894106826457516,-0.15810660744394267,0.04660507252932051,987015.5550921789,43718.63691544654
X,0.34999999999999987,0.02704788600021857,-0.3353200604596759,0.01525220619274651,0.03436480063049406,0.09710159180986372,0.15791121104403885,-0.03603815490613299,0.3354230256567929,-0.015097943456057205,-0.033414940153179695,-0.09720126504784377,-0.15784987744358478,0.03630585930559591,1305309.546338602,43529.576137516386
X,0.3999999999999998,0.02752933000010671,-0.3873768060173582,0.013398434236093987,0.04090652226573511,0.10851284197631855,0.18717189930900938,-0.04947359224169227,0.38751979558369226,-0.013138990779143949,-0.03961598662339431,-0.10867499915452675,-0.18707779506539823,0.04982825433538243,1810376.564631967,45479.278922055215
X,0.44999999999999973,0.027089169998362195,-0.4358593632633967,0.014904536763194321,0.035857597468545485,0.10241240668187533,0.16363301624397486,-0.04494222299054118,0.43597154940828564,-0.014624493081777679,-0.03458654890785003,-0.10254114482154421,-0.16355237298712272,0.045234818104630065,2169823.923239407,43952.15334103371
X,0.4999999999999998,0.026954042998113437,-0.4847275808303392,0.01550304887429982,0.03699809469211634,0.08869948762071042,0.1693324762177295,-0.044143181364347694,0.48484660858359535,-0.015184629394166817,-0.03554186725576523,-0.08883030988640103,-0.16926388480919494,0.0444054650382304,2676369.6324356054,43656.61929763441
Y,-0.5,0.026637623999704374,0.015564549319969903,0.5149903662603663,0.036375026354559845,0.08714527898370453,0.16974412192981558,-0.044015412998520465,-0.015061091180640432,-0.5150569689944995,-0.03563646028244825,-0.08727603556215796,-0.16967692902840034,0.04427373181503812,24569934.355069775,46520.788434692884
Y,-0.45,0.026959711001836695,0.016601183252640046,0.4672094057164951,0.034379945833152785,0.10923659847131295,0.15941523490835685,-0.042787649775625054,-0.01615655468869161,-0.4672864564103872,-0.033534193696188395,-0.10935603965648814,-0.15933332417540136,0.04309166930940332,20397404.832425717,47022.26686356481
Y,-0.4,0.029558620000898372,0.010708521554521634,0.4139320465784574,0.036081877130099076,0.12468132262799869,0.16452024416736638,-0.02928647528422363,-0.010393291341799657,-0.41401506899724083,-0.03521101552127878,-0.12476591394070345,-0.16445610264241695,0.02964453972041295,16073073.25732488,45796.32800135706
Y,-0.35000000000000003,0.026707580997026525,0.010617909573071004,0.3605500542029831,0.030821001157604597,0.10200378658294297,0.14208742049341136,-0.033983046499028544,-0.010327594985424479,-0.36061063347337396,-0.030204759717335012,-0.1020883565266064,-0.14202667009593894,0.03423605594415405,12037845.752288999,44500.21023962848
Y,-0.30000000000000004,0.02692308800033061,0.011052372728810177,0.308539516498858,0.03135444411840678,0.09397243864845344,0.1471494419334954,-0.04668284302032661,-0.010720419216972437,-0.308599474839206,-0.030875979191574875,-0.09409261014925917,-0.1470726291039359,0.046924278437579285,8965346.265073974,45968.357533599825
Y,-0.25000000000000006,0.027354526002454804,0.015380434990096876,0.26499967574345756,0.035996601962171124,0.08712864311485566,0.16975446012806866,-0.04403476542059893,-0.015070048271519176,-0.2650659192113429,-0.03563836970436685,-0.08725946492816479,-0.1696872505934593,0.04429305077836162,6745430.685152729,46463.51888821928
Y,-0.20000000000000007,0.026950512998155318,0.016382429278369297,0.21718290763431558,0.03375463912052349,0.10973523766564604,0.15862248892272723,-0.04260693729329143,-0.016127409501783818,-0.21725936571621757,-0.033383374470862225,-0.10985358436940965,-0.1585405513214763,0.0429108231775025,4629991.542328798,46944.18495805999
Y,-0.15000000000000008,0.02693054700284847,0.010534370591481327,0.16384956823348937,0.03553175633625838,0.1243305049803515,0.1644438571291579,-0.02937688102883316,-0.01034833759489505,-0.1639317299230695,-0.03520595852765082,-0.12441531474535773,-0.16437970099061566,0.029733772797330596,2734815.7406302653,45777.312913793554
Y,-0.10000000000000009,0.02449047299887752,0.010314906662490771,0.11046866105260018,0.030504867079190184,0.10329589076838477,0.1428982235888212,-0.03401100292986751,-0.010173217918115499,-0.11052962670971152,-0.030331115151467605,-0.10338101868273761,-0.14283664917652428,0.03426867828698999,1292726.719503332,44424.0370785177
Y,-0.0500000000000001,0.0243483020021813,0.01101112588467895,0.05862898164523423,0.030863850578233706,0.09375965083332931,0.14675309568945716,-0.04700428549243626,-0.010883935950037874,-0.058688468523507537,-0.030795831781618356,-0.09388031999680152,-0.14667593110450616,0.047244525906181466,476045.9045253551,45911.0807737761
Y,-1.1102230246251565e-16,0.02413791199796833,0.01520788910922786,0.015021093560811978,0.035675852938428544,0.08714890369339176,0.17004799545772376,-0.044127694148080106,-0.015090366707274488,-0.015087117001426132,-0.03569789012015807,-0.08728022820623103,-0.16998062827262406,0.04438648696094756,182381.04050915153,46389.5285478855
Y,0.04999999999999982,0.02404828799990355,0.016345562588770943,-0.03270207473611579,0.03315343565800098,0.10968164837612429,0.15799497714150712,-0.04296070956694718,-0.01627859439690314,0.03262619769868203,-0.03326096800315304,-0.10980049996293278,-0.15791240304208098,0.043263245313749844,193074.79186577458,46840.509621976205
Y,0.09999999999999987,0.027108820002467837,0.010429908080830576,-0.08607591559964697,0.03495232889496824,0.12444549359736339,0.16437709371450385,-0.02926590058540539,-0.010373554664846973,0.08599439311900488,-0.03516909495258066,-0.12452995090258812,-0.1643131192799183,0.02962297695070569,730898.1529137723,45723.9343678978
Y,0.1499999999999999,0.026829824997548712,0.010072419313113227,-0.1395087635689697,0.029651641797928726,0.10143272609867092,0.14083793321481156,-0.03371748947709886,-0.010081598970429411,0.1394500560331982,-0.02992343294496554,-0.10151589535193375,-0.1407779967297933,0.03396686911712797,1722344.8741129772,44369.35226621477
Y,0.19999999999999984,0.027766685998358298,0.011198369032857184,-0.19027080395749285,0.029563004823209713,0.09306887993810288,0.14252267551025002,-0.041896557764498306,-0.011263925616773415,0.19021424691084327,-0.0299001306626641,-0.0931733601896632,-0.14245439418101402,0.04212814026585567,3200627.551522868,45864.599437167926
Y,0.24999999999999978,0.026548101002845215,0.014884443682927184,-0.23504862000976176,0.03494645263883498,0.09027427418923004,0.1681873698978186,-0.04363837169014246,-0.014960812811702199,0.2349817931576679,-0.03536079677696939,-0.09040273407312363,-0.1681183562049271,0.04390349924537415,4876731.407256615,46278.55535537667
Y,0.2999999999999998,0.02671409600225161,0.016125255669557262,-0.2825964116918564,0.032774901430332425,0.10979224812669651,0.15854598490650373,-0.04280586722514363,-0.016245624388140093,0.28252087597617215,-0.0333614187525891,-0.10991108791990309,-0.15846362316179805,0.04310976449737512,7075006.628283199,46687.48723330449
Y,0.34999999999999987,0.02683761099979165,0.010299694012257598,-0.33606233857224255,0.03443771509511936,0.12459949908593877,0.16446652865388917,-0.02927173789146118,-0.010372487084380804,0.3359812823674009,-0.035198362672210895,-0.12468401999367656,-0.16440246166876277,0.029629450549820253,10055545.951033672,45646.10103051038
Y,0.3999999999999998,0.02726077300030738,0.009985308203883898,-0.38950176937288755,0.02915295517617515,0.10136162858785984,0.14056363955681658,-0.033798783520657565,-0.010143522003858698,0.3894435832933294,-0.029866936787182424,-0.10144483438379943,-0.14050360176346022,0.03404750293775406,13324003.809665166,44282.7922446585
